"discipline","focal_game","next_game","model","model_description","odds_ratio","estimate","standard_error","z_value","p_value","term"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.94916170156329,-0.0521761033558064,0.256790427436186,-0.203185546582621,0.838990009367306,"roundQualification round of 16"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.01421556679713,0.0141154731045383,0.29086326492942,0.0485295835070938,0.961294187981877,"roundQualification round of 32"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.942274832499388,-0.0594582927121326,0.261043296491684,-0.227771766259575,0.819823677046795,"roundQuarter final"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.15942232990853,0.147921889621177,1.04514351129768,0.141532610614894,0.887449199780928,"roundRound 1"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.738884489950051,-0.302613676137237,1.01009482196497,-0.299589374736673,0.764490389850486,"roundRound 2"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.60602974731718,-0.500826206135453,1.03027688581593,-0.486108358860079,0.626890340734116,"roundRound 3"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.895857105976452,-0.109974358662479,0.24752933202161,-0.444288189057443,0.656834239326191,"roundRound of 16"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.890146366468351,-0.11636937307146,0.240387255921281,-0.484091274412514,0.62832109351745,"roundRound of 32"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.912003659486932,-0.0921112763205358,0.267730545656704,-0.344044703956361,0.73081266697134,"roundRound of 64"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",0.738011561499758,-0.303795788515544,0.283839018919983,-1.07031016972753,0.284479718321527,"roundSemi final"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.00311928524771,0.00311443037069145,0.0180879392427297,0.172182708538413,0.863293891446462,"streak_bonus_momentum"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.88373374170055,0.633255840105423,0.771510394033036,0.820800140870567,0.41176011834727,"tournament_typeHSBC BWF World Tour Finals"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.26828121518134,0.237662609959991,0.151182909067893,1.57202035220305,0.115945831306086,"tournament_typeHSBC BWF World Tour Super 1000"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.0099047734096,0.00985604265530639,0.102091191448501,0.0965415577530818,0.923090469734189,"tournament_typeHSBC BWF World Tour Super 300"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.12273661026951,0.115769107080273,0.114473179547588,1.01132079617083,0.311862915769967,"tournament_typeHSBC BWF World Tour Super 500"
"MS",1,2,"streak_bonus","Controls + final score differential + streak-bonus momentum",1.14500886100625,0.135412375846345,0.144226001491796,0.938890175458736,0.347787133881434,"tournament_typeHSBC BWF World Tour Super 750"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.48351179268266,0.394412109947117,0.35798201961376,1.10176513997173,0.270563789280146,"(Intercept)"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.0335898070932,0.0330379924391344,0.0226070293645508,1.46140352659248,0.143904733468922,"adjusted_late_game_momentum"
"MS",2,3,"adjusted_late_game","Controls + final score differential + adjusted late-game momentum",1.26506346567375,0.235122291414069,0.0417225808669128,5.63537265741218,1.74680183163852e-08,"elo_difference_100"
