"discipline","focal_game","next_game","focal_team_one_points","focal_team_two_points","final_score_diff","predictor","n_matches","mean_momentum","predictor_label"
"MS",1,2,21,13,8,"excess_late_game_momentum",161,-0.234583850931677,"Excess late-game momentum"
"MS",1,2,21,13,8,"excess_max_streak_momentum",161,0.0285714285714286,"Excess maximum-streak momentum"
"MS",1,2,21,13,8,"excess_streak_bonus_momentum",161,0.0549293662888365,"Excess streak-bonus momentum"
"MS",1,2,21,14,7,"excess_late_game_momentum",163,-0.0998773006134969,"Excess late-game momentum"
"MS",1,2,21,14,7,"excess_max_streak_momentum",163,0.0181349693251534,"Excess maximum-streak momentum"
"MS",1,2,21,14,7,"excess_streak_bonus_momentum",163,0.112760674816562,"Excess streak-bonus momentum"
"MS",1,2,21,15,6,"excess_late_game_momentum",160,0.0665,"Excess late-game momentum"
"MS",1,2,21,15,6,"excess_max_streak_momentum",160,0.21725,"Excess maximum-streak momentum"
"MS",1,2,21,15,6,"excess_streak_bonus_momentum",160,0.0722872611671614,"Excess streak-bonus momentum"
"MS",1,2,21,16,5,"excess_late_game_momentum",189,-0.18637037037037,"Excess late-game momentum"
"MS",1,2,21,16,5,"excess_max_streak_momentum",189,0.0551534391534392,"Excess maximum-streak momentum"
"MS",1,2,21,16,5,"excess_streak_bonus_momentum",189,-0.19118775781449,"Excess streak-bonus momentum"
"MS",1,2,21,17,4,"excess_late_game_momentum",193,0.168953367875648,"Excess late-game momentum"
"MS",1,2,21,17,4,"excess_max_streak_momentum",193,0.0536373056994819,"Excess maximum-streak momentum"
"MS",1,2,21,17,4,"excess_streak_bonus_momentum",193,-0.0143690408904425,"Excess streak-bonus momentum"
"MS",1,2,21,18,3,"excess_late_game_momentum",183,0.169267759562842,"Excess late-game momentum"
"MS",1,2,21,18,3,"excess_max_streak_momentum",183,-0.264371584699454,"Excess maximum-streak momentum"
"MS",1,2,21,18,3,"excess_streak_bonus_momentum",183,-0.334615183390943,"Excess streak-bonus momentum"
"MS",1,2,21,19,2,"excess_late_game_momentum",174,-0.270528735632184,"Excess late-game momentum"
"MS",1,2,21,19,2,"excess_max_streak_momentum",174,0.0905287356321839,"Excess maximum-streak momentum"
"MS",1,2,21,19,2,"excess_streak_bonus_momentum",174,0.06788937911854,"Excess streak-bonus momentum"
"MS",1,2,21,23,-2,"excess_late_game_momentum",44,-0.135272727272727,"Excess late-game momentum"
"MS",1,2,21,23,-2,"excess_max_streak_momentum",44,-0.290363636363636,"Excess maximum-streak momentum"
"MS",1,2,21,23,-2,"excess_streak_bonus_momentum",44,-0.0863057449167235,"Excess streak-bonus momentum"
"MS",1,2,22,20,2,"excess_late_game_momentum",76,-0.24021052631579,"Excess late-game momentum"
"MS",1,2,22,20,2,"excess_max_streak_momentum",76,0.108736842105263,"Excess maximum-streak momentum"
"MS",1,2,22,20,2,"excess_streak_bonus_momentum",76,0.182860923428152,"Excess streak-bonus momentum"
"MS",1,2,23,21,2,"excess_late_game_momentum",49,0.431836734693878,"Excess late-game momentum"
"MS",1,2,23,21,2,"excess_max_streak_momentum",49,0.148897959183673,"Excess maximum-streak momentum"
"MS",1,2,23,21,2,"excess_streak_bonus_momentum",49,0.125460119693081,"Excess streak-bonus momentum"
"MS",1,2,24,22,2,"excess_late_game_momentum",21,-0.0144761904761905,"Excess late-game momentum"
"MS",1,2,24,22,2,"excess_max_streak_momentum",21,0.310095238095238,"Excess maximum-streak momentum"
"MS",1,2,24,22,2,"excess_streak_bonus_momentum",21,0.195997252029562,"Excess streak-bonus momentum"
"MS",2,3,10,21,-11,"excess_late_game_momentum",29,0.47751724137931,"Excess late-game momentum"
"MS",2,3,10,21,-11,"excess_max_streak_momentum",29,0.237793103448276,"Excess maximum-streak momentum"
"MS",2,3,10,21,-11,"excess_streak_bonus_momentum",29,0.61239683911469,"Excess streak-bonus momentum"
"MS",2,3,11,21,-10,"excess_late_game_momentum",36,-0.222666666666667,"Excess late-game momentum"
"MS",2,3,11,21,-10,"excess_max_streak_momentum",36,0.184222222222222,"Excess maximum-streak momentum"
"MS",2,3,11,21,-10,"excess_streak_bonus_momentum",36,0.320555783861286,"Excess streak-bonus momentum"
"MS",2,3,12,21,-9,"excess_late_game_momentum",47,0.425531914893617,"Excess late-game momentum"
"MS",2,3,12,21,-9,"excess_max_streak_momentum",47,0.0596595744680851,"Excess maximum-streak momentum"
"MS",2,3,12,21,-9,"excess_streak_bonus_momentum",47,0.00650576534462762,"Excess streak-bonus momentum"
"MS",2,3,13,21,-8,"excess_late_game_momentum",49,0.225795918367347,"Excess late-game momentum"
"MS",2,3,13,21,-8,"excess_max_streak_momentum",49,0.14065306122449,"Excess maximum-streak momentum"
"MS",2,3,13,21,-8,"excess_streak_bonus_momentum",49,0.120400110155911,"Excess streak-bonus momentum"
"MS",2,3,14,21,-7,"excess_late_game_momentum",51,-0.530352941176471,"Excess late-game momentum"
"MS",2,3,14,21,-7,"excess_max_streak_momentum",51,0.335607843137255,"Excess maximum-streak momentum"
"MS",2,3,14,21,-7,"excess_streak_bonus_momentum",51,0.296664012003664,"Excess streak-bonus momentum"
"MS",2,3,15,21,-6,"excess_late_game_momentum",55,-0.285090909090909,"Excess late-game momentum"
"MS",2,3,15,21,-6,"excess_max_streak_momentum",55,0.166909090909091,"Excess maximum-streak momentum"
"MS",2,3,15,21,-6,"excess_streak_bonus_momentum",55,0.317460993011565,"Excess streak-bonus momentum"
"MS",2,3,16,21,-5,"excess_late_game_momentum",61,-0.455081967213115,"Excess late-game momentum"
